Tweet_Original,Tweet_Gerado
"RT @sirpotenza: Hoje Jair Bolsonaro ganhou mais um eleitor. Obrigado, Bonner e Renata por me ajudarem a escolher. Realmente estava muito pe…","Muita desinformação circulando, dificultando a decisão dos eleitores."
"RT @bchartsnet: Bolsonaro: isso aconteceu em 1964...
Bonner: nós estamos em 2018 candidato
#BolsonaroNoJornalNacional https://t.co/sjWKRS4i…",A disputa presidencial segue dividindo opiniões por todo o país.
"RT @Teu_Mathi: JÁ QUE AS PESQUISAS ELEITORAIS """"OFICIAS"""" SÃO MANIPULADAS, VAMOS DESCOBRIR A VERDADE

Em quem você votaria???

Renata Vasco…",As hashtags políticas dominam o Twitter durante a eleição.
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Os discursos inflamados continuam atraindo a atenção do público.
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",As pesquisas de intenção de voto movimentam o debate diariamente.
"RT @Aames_Oliveira: Renata Vasconcellos: ""Não, candidato! Por favor, não mostre esse livro escolar! Tem criança assistindo!""
#BolsonaroNoJo…",As fake news continuam circulando em ritmo acelerado nas redes.
RT @barbarafontess: Para o Bolsonaro mulher tem que ganhar menos mesmo; se quiser segurança morte de inocente é efeito colateral; se não qu…,As redes sociais estão em chamas com discussões sobre os candidatos.
"RT @LannesDelRey: O jornal nacional serviu para mostrar o quanto Bolsonaro é homofóbico, racista e machista.

Nem seus eleitores conseguem…",As alianças políticas seguem mudando o rumo das eleições.
"RT @SaabBrasil: #BolsonaroNoJornalNacional 
Uma pergunta:
Todos sabemos que Renata ganha 5x ou 4x menos que Bonner, 

""Se o salário da Rena…",As pesquisas de intenção de voto movimentam o debate diariamente.
"RT @JoelAlexandreM: O Bonner até tentou evitar, mas não teve jeito, Bolsonaro falou o editorial de Roberto Marinho, e fez a famosa pergunta…",Os debates mostram o quanto a polarização está forte neste ano.
"RT @edmilsonpapo10: Rasgou o kit gay
Cagou pras feminazis
Vai fuzilar bandido
Mano, eu to feliz demais
#BolsonaroNoJornalNacional","Muita desinformação circulando, dificultando a decisão dos eleitores."
Realmente Bolsonaro não tem raciocínio lógico. Não conseguiu sair da primeira pergunta. #BolsonaroNoJornalNacional,"As eleições de 2018 seguem agitadas, cada novo fato vira manchete."
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Os debates mostram o quanto a polarização está forte neste ano.
"E é isso que queremos! Matar bandidos.
E se você os defende você deveria ir morar com eles ou até mesmo ir preso ju… https://t.co/OilUzCeM5W",A disputa entre os candidatos está cada vez mais agressiva.
RT @BlogDoPim: A âncora Renata faz bem em não aceitar receber menos que homens por funções iguais (Bonner também é editor-chefe) pois ela é…,A disputa presidencial segue dividindo opiniões por todo o país.
"RT @RealityAoVivo: Renata Vasconcellos colocando Bolsonaro no seu devido lugar, não deixem esse vídeo morrer  #BolsonaroNoJornalNacional ht…",A disputa presidencial segue dividindo opiniões por todo o país.
RT @aboutjubsme: Bolsonaro só mostrou o quão retardado é nesse debate e se alguém ainda assim concordar com as ideias dele são retardados c…,Mais um dia de polêmicas e acusações nesse cenário eleitoral acirrado.
RT @diImabr: Precisamos tombar esse momento da TV Brasileira como Patrimônio Histórico da Humanidade. Alô @UN!!! #BolsonaroNoJornalNacional…,As pesquisas de intenção de voto movimentam o debate diariamente.
"RT @maepatriota: Candidato, me dá o livro.
Eu vou ficar com o livro.
Candidato, me dá o livro.
Eu vou ficar com o livro.
Candidato, me dá o…",A cobertura jornalística tenta acompanhar o ritmo frenético da campanha.
"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",A cobertura jornalística tenta acompanhar o ritmo frenético da campanha.
"RT @LannesDelRey: O jornal nacional serviu para mostrar o quanto Bolsonaro é homofóbico, racista e machista.

Nem seus eleitores conseguem…",Os discursos inflamados continuam atraindo a atenção do público.
"RT @malxndrz: boa noite com o vídeo mais prazeroso do ano, amém renata vasconsellos #BolsonaroNoJornalNacional #JN https://t.co/Wo7SAgjrUM",Mais um dia de polêmicas e acusações nesse cenário eleitoral acirrado.
"RT @edmilsonpapo10: ""Em bandido tem que atirar""
Bolsonaro
#BolsonaroNoJornalNacional 
Cara, sempre quis ver um candidato dizer isso sem mim…",Os discursos inflamados continuam atraindo a atenção do público.
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Programas humorísticos também satirizam o clima tenso das eleições.
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Os debates mostram o quanto a polarização está forte neste ano.
"RT @JoelAlexandreM: Veja o que Bolsonaro falou ao ser questionado sobre homofobia no Jornal Nacional 

#BolsonaroNoJornalNacional https://t…",Mais um escândalo envolvendo políticos vem à tona durante a campanha.
"RT @edmilsonpapo10: Bolsonaro foi bem demais!
Mto melhor que eu esperava 
Excelente!
Bolsonaro falou como a maioria dos cidadãos trabalhado…",A campanha eleitoral deste ano está cheia de reviravoltas inesperadas.
"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",As redes sociais estão em chamas com discussões sobre os candidatos.
RT @annauchoa_: Mais uma prova de que a Barra tem que acabar https://t.co/SJciZrniXk,"Muita desinformação circulando, dificultando a decisão dos eleitores."
@Desesquerdizada Foi bommmmmm demaissssssss 😂😂😂😂😂. Mito #BolsonaroNoJornalNacional,As pesquisas de intenção de voto movimentam o debate diariamente.
"RT @Teu_Mathi: JÁ QUE AS PESQUISAS ELEITORAIS """"OFICIAS"""" SÃO MANIPULADAS, VAMOS DESCOBRIR A VERDADE

Em quem você votaria???

Renata Vasco…",As pesquisas de intenção de voto movimentam o debate diariamente.
"RT @samiabomfim: A derrota de Jair Bolsonaro virá da resistência das mulheres. Nesse vídeo, mostro alguns motivos que nos fazem detestar es…",As fake news continuam circulando em ritmo acelerado nas redes.
"RT @JoHnNy_RoCk1: #BolsonaroNoJornalNacional Comunidades???
A violência já desceu das favelas faz tempo, querem que os policiais enfrentem…",As pesquisas de intenção de voto movimentam o debate diariamente.
"""Exiatem gays e lésbicas,  pais de família que concorda comigo"" #BolsonaroNoJornalNacional https://t.co/xyY9zhKb94",As pesquisas de intenção de voto movimentam o debate diariamente.
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",A disputa entre os candidatos está cada vez mais agressiva.
"RT @Desesquerdizada: Resumo de #BolsonaroNoJornalNacional: anunciou o apartamento, cutucou Bonner pelo divórcio, jogou na cara da Renata qu…",Os debates mostram o quanto a polarização está forte neste ano.
"RT @Camzthay: Mano, EU ODEIO O BOLSONARO

Mas amo meu país.
E em 2015 prometi pra mim mesma q votaria em candidato que:

-Não fosse citado…",As redes sociais estão em chamas com discussões sobre os candidatos.
RT @kimpkat: Será que Bolsonaro tocou no tema casamento de propósito? Rs#BolsonaroNoJornalNacional,As alianças políticas seguem mudando o rumo das eleições.
"RT @malxndrz: boa noite com o vídeo mais prazeroso do ano, amém renata vasconsellos #BolsonaroNoJornalNacional #JN https://t.co/Wo7SAgjrUM",Cada pesquisa divulgada muda o humor do eleitorado rapidamente.
"RT @JOAQUIMTEIXEIA: BOLSONARO,
AO VIVO,
no JORNAL NACIONAL:

- falou que a GLOBO é sustentada pelo Estado
- falou da desigualdade salarial…",A cobertura jornalística tenta acompanhar o ritmo frenético da campanha.
RT @domlancellotti: #BolsonaroNoJornalNacional Esse Ministro Barroso aceitando denúncia infundada de racismo contra o Bolsonaro nem parece…,A disputa entre os candidatos está cada vez mais agressiva.
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",A campanha eleitoral deste ano está cheia de reviravoltas inesperadas.
"RT @lovatosovereign: Eu tô só o Harry Potter:
Bolsonaro não
Bolsonaro não 
Bolsonaro não 
Bolsonaro não 
#Eleições2018 #EleNão",As redes sociais estão em chamas com discussões sobre os candidatos.
RT @LadradeCelular: Sobre o tema da violência: Só pra lembrar o @realwbonner que o jornalista da @RedeGlobo Tim Lopes virou churrasco na mã…,As redes sociais estão em chamas com discussões sobre os candidatos.
"RT @WORD_NEWSS: Noblat não Critica Bolsonaro e família chama ambulância.
#BolsonaroNoJornalNacional https://t.co/OW0J6CXHpA","As eleições de 2018 seguem agitadas, cada novo fato vira manchete."
"RT @vaIehomossexuaI: Renata Vasconcellos: ""eu nunca aceitaria receber menos que um homem"". Salário dela:  R$ 200 mil.
Salário do William Bo…","Muita desinformação circulando, dificultando a decisão dos eleitores."
"RT @lawaer: Na próxima vez que um tio vier a me perguntar de salário, vou trocar o 'quer pagar meu IR' pela linda citação da Renata Vasconc…",Os discursos inflamados continuam atraindo a atenção do público.
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Mais um dia de polêmicas e acusações nesse cenário eleitoral acirrado.
"RT @professorigor: Bolsonaro deixou claro que a Globo recebe tanto dinheiro do governo federal que é quase um braço midiático estatal!
#Bol…",Promessas e ataques tomam conta dos programas eleitorais na TV.
RT @selenawigs: renata o brasil te ama #BolsonaroNoJornalNacional https://t.co/cf2mLM9y4H,A disputa presidencial segue dividindo opiniões por todo o país.
"RT @Lesbicando1995: bolsonaro é a favor da tortura e armamento, racista, machista, homofóbico, despreza a cultura indígena, quer limitar qu…",Promessas e ataques tomam conta dos programas eleitorais na TV.
"RT @Aames_Oliveira: Renata Vasconcellos: ""Não, candidato! Por favor, não mostre esse livro escolar! Tem criança assistindo!""
#BolsonaroNoJo…",As pesquisas de intenção de voto movimentam o debate diariamente.
"RT @malxndrz: boa noite com o vídeo mais prazeroso do ano, amém renata vasconsellos #BolsonaroNoJornalNacional #JN https://t.co/Wo7SAgjrUM",Cada pesquisa divulgada muda o humor do eleitorado rapidamente.
"RT @malxndrz: boa noite com o vídeo mais prazeroso do ano, amém renata vasconsellos #BolsonaroNoJornalNacional #JN https://t.co/Wo7SAgjrUM",As alianças políticas seguem mudando o rumo das eleições.
RT @barbarafontess: Para o Bolsonaro mulher tem que ganhar menos mesmo; se quiser segurança morte de inocente é efeito colateral; se não qu…,"Muita desinformação circulando, dificultando a decisão dos eleitores."
"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Cada pesquisa divulgada muda o humor do eleitorado rapidamente.
"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",As fake news continuam circulando em ritmo acelerado nas redes.
Exatamente!,A disputa presidencial segue dividindo opiniões por todo o país.
"RT @SPD_33: 🔰""Num fala que eu ganho menos que o Bonner... Ain ain ain...""
🤣Rs😂Rs🤣 

BOLSONARO DETONOU O JN‼️

#BolsonaroNoJornalNacional ht…",As redes sociais estão em chamas com discussões sobre os candidatos.
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Os debates mostram o quanto a polarização está forte neste ano.
"RT @Pedro_henriqz: Nao tenho vergonha de ser gay e apoiar o bolsonaro, eu vim de uma família tradicional brasileira, e apoio esses valores…",As pesquisas de intenção de voto movimentam o debate diariamente.
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Cada pesquisa divulgada muda o humor do eleitorado rapidamente.
"RT @malxndrz: boa noite com o vídeo mais prazeroso do ano, amém renata vasconsellos #BolsonaroNoJornalNacional #JN https://t.co/Wo7SAgjrUM",As redes sociais estão em chamas com discussões sobre os candidatos.
"RT @Brellasker: alguém sabe me dizer se essa imagem é real?

#BolsonaroNoJornalNacional https://t.co/yQURW9cKWM",Cada pesquisa divulgada muda o humor do eleitorado rapidamente.
"RT @pauloap: DÊ RT PARA ESPALHAR O LIVRO CENSURADO PELA GLOBO

Bolsonaro não pôde mostrar este livro no Jornal Nacional, mas as crianças re…",Novas denúncias agitam o cenário político a poucos dias da votação.
"RT @jovensreacinhas: Quem liga para economia, emprego e saúde?

A gente quer saber é de um ""kit gay"" que nunca saiu do papel!

O país não p…",Os apoiadores seguem firmes na defesa de seus candidatos preferidos.
"RT @lovatolorde: Renata Vasconcelos: ""eu nunca aceitaria menos que um homem se eu tivesse o mesmo cargo que ele"". Salário dela como jornali…",Os discursos inflamados continuam atraindo a atenção do público.
"RT @Teu_Mathi: JÁ QUE AS PESQUISAS ELEITORAIS """"OFICIAS"""" SÃO MANIPULADAS, VAMOS DESCOBRIR A VERDADE

Em quem você votaria???

Renata Vasco…",A disputa presidencial segue dividindo opiniões por todo o país.
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",A disputa entre os candidatos está cada vez mais agressiva.
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Os apoiadores seguem firmes na defesa de seus candidatos preferidos.
"RT @Camzthay: Mano, EU ODEIO O BOLSONARO

Mas amo meu país.
E em 2015 prometi pra mim mesma q votaria em candidato que:

-Não fosse citado…",As hashtags políticas dominam o Twitter durante a eleição.
"RT @BonoroPistola: #BolsonaroNoJornalNacional

""Jamais aceitaria ganhar menos que o Bonner""

Renata Vasconcellos https://t.co/oirMiDsjgV",As redes sociais estão em chamas com discussões sobre os candidatos.
"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…","Muita desinformação circulando, dificultando a decisão dos eleitores."
"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Promessas e ataques tomam conta dos programas eleitorais na TV.
RT @withyouts: “eu não sou homofóbico mas tá errado homem com homem” e com essa frase eu encerro o dia de hoje muito obrigada #BolsonaroNoJ…,As hashtags políticas dominam o Twitter durante a eleição.
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",As alianças políticas seguem mudando o rumo das eleições.
"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",As hashtags políticas dominam o Twitter durante a eleição.
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",Mais um dia de polêmicas e acusações nesse cenário eleitoral acirrado.
"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Mais um escândalo envolvendo políticos vem à tona durante a campanha.
"RT @kiadons: #BolsonaroNoJornalNacional
Podem chamar ele de tudo, menos de corrupto. Ele não é o melhor candidato, mas sim o único que pode…",Promessas e ataques tomam conta dos programas eleitorais na TV.
RT @SchuldinerSieg: Fiquem ligados porque o julgamento da ação que aceita o pedido de ação contra o Jair Bolsonaro sobre racismo tá empatad…,Novas denúncias agitam o cenário político a poucos dias da votação.
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",As hashtags políticas dominam o Twitter durante a eleição.
RT @deamartinelli: renata vasconcellos: “poderia questionar o salário do senhor porque o senhor exerce um cargo público(...). meu salário n…,A disputa entre os candidatos está cada vez mais agressiva.
"RT @SaabBrasil: #BolsonaroNoJornalNacional 
Uma pergunta:
Todos sabemos que Renata ganha 5x ou 4x menos que Bonner, 

""Se o salário da Rena…",Novas denúncias agitam o cenário político a poucos dias da votação.
"RT @Teu_Mathi: JÁ QUE AS PESQUISAS ELEITORAIS """"OFICIAS"""" SÃO MANIPULADAS, VAMOS DESCOBRIR A VERDADE

Em quem você votaria???

Renata Vasco…",As alianças políticas seguem mudando o rumo das eleições.
"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",A cobertura jornalística tenta acompanhar o ritmo frenético da campanha.
"RT @Teu_Mathi: JÁ QUE AS PESQUISAS ELEITORAIS """"OFICIAS"""" SÃO MANIPULADAS, VAMOS DESCOBRIR A VERDADE

Em quem você votaria???

Renata Vasco…","Muita desinformação circulando, dificultando a decisão dos eleitores."
"RT @VRetorno: 23:59 - ""Você deve interferir na diferença salarial entre homens e mulheres na iniciativa privada""

00:00 - ""Mas você e o Bon…",Mais um dia de polêmicas e acusações nesse cenário eleitoral acirrado.
"RT @lovatolorde: Renata Vasconcelos: ""eu nunca aceitaria menos que um homem se eu tivesse o mesmo cargo que ele"". Salário dela como jornali…",As alianças políticas seguem mudando o rumo das eleições.
RT @barbarafontess: Para o Bolsonaro mulher tem que ganhar menos mesmo; se quiser segurança morte de inocente é efeito colateral; se não qu…,Novas denúncias agitam o cenário político a poucos dias da votação.
RT @olvbruna: Quanto mais o tempo passa mais eu tenho certeza que nunca votaria em Bolsonaro #BolsonaroNoJornalNacional https://t.co/Cc6qFu…,Os discursos inflamados continuam atraindo a atenção do público.
"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Cada pesquisa divulgada muda o humor do eleitorado rapidamente.
"RT @Salomaoalves0: Tem certeza Ibope que ele, Bolsonaro, está só com 20% de eleitores? https://t.co/Z0A3UWJKgN",Mais um dia de polêmicas e acusações nesse cenário eleitoral acirrado.
RT @rick0800: Essa parte da entrevista Jair Bolsonaro leva a entrevistadora e a rede Globo a um knock dow e uma suspirada de ódio do Willia…,A campanha eleitoral deste ano está cheia de reviravoltas inesperadas.
RT @diImabr: Precisamos tombar esse momento da TV Brasileira como Patrimônio Histórico da Humanidade. Alô @UN!!! #BolsonaroNoJornalNacional…,Os debates mostram o quanto a polarização está forte neste ano.
"RT @SimoneRJ_BR: #BolsonaroNoJornalNacional Sobre diferença salarial entre homens e mulheres, TRAMONTINOU:👇 https://t.co/g2bG5fYqGr","Muita desinformação circulando, dificultando a decisão dos eleitores."
RT @JoelAlexandreM: Os cortes rápidos com oferecimento Tramontina não faltaram na entrevista para o Jornal Nacional #BolsonaroNoJornalNacio…,Mais um escândalo envolvendo políticos vem à tona durante a campanha.
"RT @professorigor: Lógica familiar da lacrosfera

#BolsonaroNoJornalNacional https://t.co/J9YN5UrdT6",Os apoiadores seguem firmes na defesa de seus candidatos preferidos.
não acredito que to presa nesse tweet puta que pariu as pessoas são ignorantes demais caraaaaaa,Novas denúncias agitam o cenário político a poucos dias da votação.
"RT @ArthurValim: Se você viu o #BolsonaroNoJornalNacional e ainda pretende votar nele, você não entende nada de política, nada de humanidad…",A disputa presidencial segue dividindo opiniões por todo o país.
"RT @Ca_Mayorgap: É muito triste ver pessoas idolatrando o Bolsonaro, achando que com uma arma na mão vai acabar com todos os problemas. 

#…","As eleições de 2018 seguem agitadas, cada novo fato vira manchete."
"RT @shawnwitness: ""aí você entra na sala e vê seu filho brincando com uma boneca""
qual o problema de um menino brincar com uma boneca? se e…",A campanha eleitoral deste ano está cheia de reviravoltas inesperadas.
"RT @pauloap: GLOBO CENSURA O KIT GAY AO VIVO

MAS ISSO VAI PRA ESCOLA DOS SEUS FILHOS

SÓ BOLSONARO VAI EVITAR ISSO

#BolsonaroNoJornalNaci…",Os discursos inflamados continuam atraindo a atenção do público.
fui ler as respostas disso aqui nao sei pra que. essa galera realmente entende as coisas pela metade so o que convem,Mais um escândalo envolvendo políticos vem à tona durante a campanha.
RT @munirnege: renata vasconcellos comendo o cu do bozonaro #BolsonaroNoJornalNacional https://t.co/hq6G7WMEtY,"Muita desinformação circulando, dificultando a decisão dos eleitores."
"RT @SatilAndrew: Povo falando sobre a Renata pagar o salário de políticos, mas não fala que a Rede Globo recebe dinheiro de partidos políti…",A cobertura jornalística tenta acompanhar o ritmo frenético da campanha.
RT @pqpasylum: 🌸tweet para apreciar e enaltecer a beleza da mulher que matou o bozonaro essa noite🌸 #bolsonaronojornalnacional https://t.co…,A disputa presidencial segue dividindo opiniões por todo o país.
RT @barbarafontess: Para o Bolsonaro mulher tem que ganhar menos mesmo; se quiser segurança morte de inocente é efeito colateral; se não qu…,Os debates mostram o quanto a polarização está forte neste ano.
"RT @Lesbicando1995: bolsonaro é a favor da tortura e armamento, racista, machista, homofóbico, despreza a cultura indígena, quer limitar qu…",A disputa entre os candidatos está cada vez mais agressiva.
RT @barbarafontess: Para o Bolsonaro mulher tem que ganhar menos mesmo; se quiser segurança morte de inocente é efeito colateral; se não qu…,A campanha eleitoral deste ano está cheia de reviravoltas inesperadas.
"RT @LannesDelRey: O Brasil viu o quanto Bolsonaro é machista ao momento que foi falar que Renata recebia menos q william Bonner.

Simplesme…",As fake news continuam circulando em ritmo acelerado nas redes.
"RT @cmxlish: bolsonaro falando sobre homossexualidade e ele mudando assunto com assuntos de 2010 e livro para ""crianças"" #BolsonaroNoJornal…",A disputa entre os candidatos está cada vez mais agressiva.
"RT @lucianobraz: Renata Vasconcellos: ""eu nunca aceitaria receber menos que um homem"". Salário dela:  R$ 200 mil.
Salário do William Bonner…",A disputa presidencial segue dividindo opiniões por todo o país.
"RT @lucianobraz: Renata Vasconcellos: ""eu nunca aceitaria receber menos que um homem"". Salário dela:  R$ 200 mil.
Salário do William Bonner…","As eleições de 2018 seguem agitadas, cada novo fato vira manchete."
RT @radardamidia: No Jornal Nacional assistimos a uma entrevista feita a um candidato à Presidência da República ou a uma caçada feita por…,"As eleições de 2018 seguem agitadas, cada novo fato vira manchete."
"RT @oiluiz: Bonner e Renata pediram pro Bolsonaro não mostrar a cartilha do kit gay pq ""tem crianças assistindo"". 

E assim, na prática e s…",A campanha eleitoral deste ano está cheia de reviravoltas inesperadas.
"RT @witchofhawkins: Gente, William Bonner e Renata Vasconcellos NÃO POSSUEM O MESMO CARGO. Ele além de âncora é tbm editor chefe do JN. Mas…",Cada pesquisa divulgada muda o humor do eleitorado rapidamente.
"RT @Camzthay: Mano, EU ODEIO O BOLSONARO

Mas amo meu país.
E em 2015 prometi pra mim mesma q votaria em candidato que:

-Não fosse citado…",A campanha eleitoral deste ano está cheia de reviravoltas inesperadas.
