prompts,language,final prompt,poem_generator
write a poetry about family, in portuguese,write a poetry about family in portuguese,"Laços de Amor

Entrelaçados em um abraço quente,
Nossos corações batem em sintonia
Família, raiz profunda e presente
Que sustenta nossa eterna harmonia

Sorrisos, lágrimas, histórias guardadas
Memórias tecidas com fios de afeto
Momentos vividos, alegrias abraçadas
Amor que não cabe em simples conceito

Avós, pais, irmãos, primos e tios
Unidos por sangue, por alma e emoção
Nossos laços são fortes, nossos desejos vazios
Sem o calor desta linda conexão

Na alegria, na dor, sempre juntos
Construímos nossa história sem fim
Cada gesto, cada olhar, todos assuntos
Que nos fazem pertencer, fazer parte de mim

Família, palavra sagrada e profunda
Que transcende distância e tempo
Amor que nasce, cresce e inunda
Nosso mais precioso e eterno momento."
write a poetry about nature, in portuguese,write a poetry about nature in portuguese,"Sussurros da Terra

Sob o verde manto das florestas densas,
Onde os sons da vida se entrelaçam sutis,
Correm águas cristalinas e serenas,
Dançando entre pedras com ritmos gentis.

O vento acaricia as folhas tremulantes,
Contando histórias antigas e profundas,
Enquanto pássaros em voos bailantes
Pintam o céu com suas asas rotundas.

Montanhas altivas de silhueta imponente,
Guardam segredos de tempos remotos,
A natureza respira calma e consciente,
Revelando seus mistérios puros e íntegros.

No horizonte, o sol se derrama em cores,
Pintando o mundo com tons de esperança,
E a terra, em seus múltiplos esplendores,
Celebra a vida em eterna bonança."
write a poetry about winter, in portuguese,write a poetry about winter in portuguese,"Frio Branco

Neve cai suave, branca e serena,
Cobrindo a terra com seu manto gelado,
Árvores despidas, paisagem amena,
Um silêncio branco, quase sagrado.

Ventos sussurram entre os galhos nus,
Cristais de gelo dançam no ar,
Inverno pinta o mundo de tons azuis,
Um quadro que faz o coração sonhar.

Noites longas, escuras e frias,
Aquecidas por chá e cobertor,
Janelas envoltas em suas fantasias,
De um tempo que congela sem dolor.

Branquidão que envolve cada esquina,
Paisagem de pureza e solidão,
O inverno chega como uma menina,
Trazendo paz para o meu coração."
write a poetry about summer, in portuguese,write a poetry about summer in portuguese,"Verão Ardente

Sol que abraça a terra com seu calor,
Dias longos de luz e esplendor,
Praias douradas, areias a brilhar,
Ondas suaves a se balançar.

Crianças brincam, risos a ecoar,
Sorvetes derretem, calor a pulsar,
Céu azul, sem nuvens a sorrir,
Verão que faz a alegria fluir.

Noites quentes de junho a julho,
Ventania morna, um doce barulho,
Cheiro de manga, de coco e mar,
Momentos que fazem o tempo parar.

Cores vivas, vestidos leves,
Pés descalços, memórias breves,
Verão brasileiro, quente e intenso,
Um presente da natureza, um momento imenso."
write a poetry about autumn, in portuguese,write a poetry about autumn in portuguese,"Outono, tempo de mudança sutil
Folhas douradas dançam ao vento
Pintam o chão com seu manto gentil
Sussurrando um delicado momento

Árvores despem sua verde vestimenta
Revelando tons de cobre e canela
A natureza, então, se apresenta
Numa paisagem singela e singela

Céu nublado, ar fresco e sereno
Tarde que chega mais cedo, mais cedo
O silêncio abraça o terreno
E traz consigo um macio segredo

Folhas que caem em suave dança
Memórias de verão que se vão
No outono, cada instante é lembrança
De uma efêmera transformação

Cores que se misturam, tons quentes
Vermelho, amarelo, marrom
Sussurros de ventos diferentes
Pintando o mundo num novo tom"
write a poetry about spring, in portuguese,write a poetry about spring in portuguese,"Primavera em Flor

Suave brisa, cores que renascem
Pétalas pintam o verde landscape
Flores desabrocham em alegria
Trazendo luz, calor e melodia

Jasmins, ipês, violetas a sorrir
Borboletas começam a surgir
O sol aquece a terra adormecida
Trazendo esperança e nova vida

Perfume doce no ar a bailar
Pássaros cantam, voltam a voar
A natureza se veste de encanto
Primavera chega em seu verde manto

Renovação, beleza a desabrochar
Cores que dançam, vida a pulsar
Cada botão, cada folha singela
Conta histórias de uma estação tão bela"
write a poetry about joy, in portuguese,write a poetry about joy in portuguese,"Alegria, luz que me envolve
Sorriso solto, coração que se dissolve
Dança de cores, melodia interior
Pulsa em mim, transborda de amor

Ser feliz, simples movimento
Leve como um sopro de vento
Liberdade que brota do peito
Sem medo, sem dor, sem conceito

Alegria, energia pura e verdadeira
Que rompe a tristeza, segue ligeira
Brilha nos olhos, aquece a alma
Traz esperança, traz paz, traz calma

Momento fugaz, mas intenso
Sentimento profundo, imenso
Alegria que nasce de dentro
Livre, intensa, sem centro

Celebro a vida em cada segundo
Danço, canto, abraço o mundo
Alegria que me faz pulsar
Livre para sonhar, livre para amar"
write a poetry about sorrow, in portuguese,write a poetry about sorrow in portuguese,"Lágrimas de Silêncio

Na solidão do meu peito,
Sombras de dor se estendem,
Cada suspiro partido
Ecoa mágoas que não se rendem.

Meu coração, ferida aberta,
Sangra lembranças esquecidas,
Onde a tristeza, tão incerta,
Desenha linhas perdidas.

Noites sem fim, escuridão,
Abraçando minha tristeza,
Fragmentos de uma ilusão
Que se desfaz sem pureza.

Saudade, veneno sutil,
Corrói por dentro a esperança,
Deixando um vazio gentil
Onde o amor já não alcança.

Choro calado, sem fim,
Lágrimas mudas, sem nome,
Sou apenas um jardim
Onde a melancolia some."
write a poetry about hope, in portuguese,write a poetry about hope in portuguese,"Esperança, luz que brilha
No horizonte da alma inquieta
Suave como brisa que se infiltra
Entre os caminhos da vida concreta

Tênue fio de esperança
Que resiste aos temporais
Mesmo quando tudo se cansa
Ela ainda sonha, vai além

Nos olhos de quem ainda crê
No sorriso que não se rendeu
Na força que sempre renasce
No amor que nunca se despediu

Esperança, doce companheira
Que habitas os cantos do peito
Segues firme, sempre ligeira
Tecendo sonhos sem defeito

Tua luz, mesmo que pequena
Ilumina os campos da dor
Transformando cada sina
Em jardim de cor e vigor

Esperança, eterna parceira
Que nos guias sem hesitar
És a chama sempre primeira
Que nos ensina a acreditar"
write a poetry about fear, in portuguese,write a poetry about fear in portuguese,"Medo Silencioso

Nas sombras da alma, ele se esconde
Sussurrando medos que ninguém responde
Gelado como a noite sem estrelas
Penetrando em minhas veias mais singelas

Tremor que nasce no mais fundo peito
Angústia que corrói cada conceito
Sombras que dançam em minha mente
Terror que me abraça, súbito e quente

Não há escape, não há salvação
Quando o medo domina cada emoção
Garras invisíveis, abraço de gelo
Sufocando meu ser, meu próprio apelo

Paralisia que toma conta do ser
Impedindo qualquer chance de vencer
O medo, cruel senhor de toda dor
Silencioso, implacável, sem pudor

Mas mesmo no escuro, há uma luz
Que no fundo do meu ser se produz
Coragem que nasce do mais profundo
Para enfrentar o meu próprio mundo"
write a poetry about anger, in portuguese,write a poetry about anger in portuguese,"Fúria Ardente

Na alma, um vulcão em erupção,
Vermelho sangue, pura emoção
Raiva que queima por dentro e fora
Gritando em silêncio, sem demora

Punhos cerrados, dentes rangendo
Pensamentos como fogo ardendo
Cada palavra é uma lança afiada
Cada gesto, uma ferida calada

Anger rasteja em minhas veias
Corrói por dentro, sem dar tréguas
Destruição em meu próprio ser
Um turbilhão que não quer ceder

Lágrimas secas de frustração
Explosão de pura indignação
No peito um trovão prestes a estourar
Um sentimento que não quer cessar

Fúria que me consome inteiro
Meu lado mais selvagem e guerreiro
Anger que pulsa, anger que dói
Um sentimento que não se dissolve, só corrói"
write a poetry about peace, in portuguese,write a poetry about peace in portuguese,"Paz, suave brisa que acalenta
Teus passos mansos, tua essência lenta
Abraças a terra com teu manto sereno
Desarmando o ódio, curando o terreno

Nas mãos entrelaçadas, no olhar sem tensão
No sorriso que nasce de pura emoção
Paz, tu és ponte entre almas distantes
Luz que transforma conflitos em instantes

Silêncio que ecoa mais forte que a guerra
Amor que germina e cura cada terra
Tua presença sutil, mas potente
Transforma o mundo, suave e lentamente

Paz, esperança de um novo amanhecer
Onde as diferenças possam florescer
Onde a compreensão seja o único idioma
E a harmonia, nosso mais profundo aroma"
write a poetry about war, in portuguese,write a poetry about war in portuguese,"Sangue e Sombras

Na terra árida e cinzenta,
Onde a dor não se sustenta,
Soldados marcham sem fim,
Seus passos, eco de um jardim
Que perdeu toda esperança.

Metralha corta o silêncio,
Explosões rasgam o céu,
Corpos tombam sem sentença,
Jovens perdidos no véu
Da mais cruel violência.

Trincheiras de luto e medo,
Onde o amor não tem segredo,
Onde a morte é companheira,
E a paz, uma quimera
Que se esconde em cada dedo.

Lágrimas molham a terra,
Memórias de uma guerra
Que não escolhe nem perdoa,
Onde o ódio se elabora
E a humanidade se encerra.

Campos pintados de vermelho,
Gritos que ecoam sem conselho,
Um mundo em destruição,
Onde a única canção
É o pranto de um velho."
write a poetry about life, in portuguese,write a poetry about life in portuguese,"Vida, Ciclo Eterno

No pulsar das horas, no fluir dos dias,
Entre sorrisos, lágrimas e alegrias,
Caminho traço, destino desenho
Com passos firmes no meu próprio empenho.

Cada momento é uma página escrita,
Cada sonho uma história infinita,
Às vezes suave como brisa ligeira,
Às vezes dura como rocha guerreira.

Nasço, cresço, aprendo e me transformo,
No rio da vida, meu ser se informa,
Cores, sabores, texturas e sons
Tecem meu caminho, minhas canções.

Amor, dor, esperança se entrelaçam
Num tecido onde as memórias abraçam
A essência de ser, de existir, de viver
Um ciclo eterno de sempre crescer.

E segue a jornada, sem medo ou hesança,
Com a força de quem ainda tem bonança
De acreditar que cada amanhecer
Traz a chance de recomeçar, crescer."
write a poetry about death, in portuguese,write a poetry about death in portuguese,"Silêncio da Morte

No abraço frio da ausência
Onde a vida se despede
Navego entre sombras e lamentos
Meu último suspiro se concede

Pétalas de tempo caem
Fragmentos de existência
No portal escuro e profundo
Onde habita a consciência

Solidão que me envolve
Mistério que me consome
Morte, senhora implacável
Que a todos os seres some

No último pulsar do peito
Na derradeira respiração
Desfazem-se os laços terrenos
Dissipa-se minha ilusão

Não há medo, não há dor
Apenas a paz que me envolve
No infinito desconhecido
Onde tudo se resolve

Silêncio... Eternidade...
Derradeiro momento
Onde a vida se despede
E encontra seu fundamento"
write a poetry about birth, in portuguese,write a poetry about birth in portuguese,"Primeiro Suspiro

No limiar da vida, um corpo se abre
Entre gemidos, dor e esperança
Um mundo novo, um amor que se expande
Nas mãos da mãe, a mais pura lembrança

Lágrimas de alegria, um grito nascente
Pele rosada, frágil e delicada
Um ser que chega, tão puro e inocente
Pela primeira vez, ao mundo abraçada

Pulsa um coração, pequenino e forte
Respiração que rompe o silêncio antigo
Começo de uma história, desafiando a sorte
Primeiro suspiro, primeiro abrigo

Nascer é renascer a cada instante
Florescer como um sonho delicado
Um milagre que se mostra pulsante
No amor mais profundo, inesperado"
write a poetry about time, in portuguese,write a poetry about time in portuguese,"Tempo, senhor de tudo que há
Fluindo como um rio sem hesitar
Minutos que passam, horas que vão
Segundos que dançam sem precisão

Relógio que marca, ponteiro que gira
Memórias que chegam, lembranças que expira
Instantes que voam, sem peso, sem cor
Tempo que tece destino e amor

Passado se funde com o presente
Futuro que chega, sempre inclemente
Ciclos que giram, sem nunca parar
Tempo que insiste em nos abraçar

Efêmero, eterno, volúvel, preciso
Tempo que corta como um sorriso
Transformando tudo que toca e que vê
Tempo, meu mestre, minha própria fé

Silencioso viajante de cada emoção
Tempo que habita cada coração
Que traz, que leva, que cria e que some
Tempo, mistério que ninguém consome"
write a poetry about space, in portuguese,write a poetry about space in portuguese,"Vastidão Sideral

Infinito negro, manto estrelado,
Planetas dançam em silêncio profundo,
Galáxias giram num ritmo encantado,
Segredos antigos de um vasto mundo.

Nebulosas pintam cores sutis,
Cometas cortam o céu sem fronteira,
Constelações contam histórias sem fim,
Num palco cósmico de luz verdadeira.

Estrelas pulsam como corações,
Brilhando distantes em noite serena,
Mistérios que ultrapassam dimensões,
Onde o tempo e o espaço se ordenam.

Universo vasto, negro véu estendido,
Infinito azul, mistério expandido."
write a poetry about light, in portuguese,write a poetry about light in portuguese,"Luz Etérea

Suave clarão que penetra a alma,
Brilho que dança em cada canto,
Luz que abraça o mundo em seu manto,
Revelando segredos com calma.

Raios dourados do sol nascente,
Claridade que tudo contamina,
Energia pura que ilumina
Os recantos da vida latente.

Faísca divina, ardente e pura,
Que rompe as sombras do esquecimento,
Traz esperança, traz movimento,
Desenhando no mundo a ternura.

Luz que transcende o simples olhar,
Que penetra o ser, funde e transforma,
Em cada reflexo, em cada norma,
Luz que nos convida a despertar.

Clarão interno, luz do sentir,
Que rompe o silêncio, rasga a treva,
Luminosidade que se eleva,
Convidando a alma a descobrir."
write a poetry about darkness, in portuguese,write a poetry about darkness in portuguese,"Sombras da Noite

Negra cortina que desce e envolve
Silêncio profundo que tudo dissolve
Trevas espessas de um negro véu
Cobrindo a terra, apagando o céu

Escuridão que penetra a alma
Sem luz, sem som, sem qualquer calma
Segredos antigos dormem no negro
Mistérios surgem num tom mais egrégio

Sombras dançantes em cantos vazios
Sussurros de medos, de fundos desvios
A escuridão que tudo consome
Onde o silêncio seu território nome

Noite sem fim, abismo profundo
Onde se perdem os sonhos do mundo
Trevas que abraçam, que envolvem, que são
Senhoras eternas da nossa solidão"
write a poetry about fire, in portuguese,write a poetry about fire in portuguese,"Chama Ardente

Vermelho vivo, laranja intenso,
Dança selvagem de luz e calor,
Línguas de fogo em ritmo suspenso,
Abraçando a noite com seu fulgor.

Crepita, ruge, consume e devora,
Transformando tudo em cinza e ardor,
Elemento que brilha, queima e mora
No coração de cada destruidor.

Poder ancestral, força primeva,
Que ilumina grutas e clareia o ser,
Tua energia primitiva e breve
Nos faz tremer, nos faz estremecer.

Fogo sagrado, fogo profano,
Que tanto aquece quanto pode arder,
És símbolo do impulso sobre-humano,
Capaz de criar e de destruir."
write a poetry about water, in portuguese,write a poetry about water in portuguese,"Águas vivas, águas mansas
Fluindo entre pedras e sonhos
Cristalina, pura essência
Que abraça a terra em seus pontos

Rios serpenteiam livres
Oceanos de azul profundo
Cachoeiras em quedas suaves
Revelando o pulso do mundo

Água que molha, água que cura
Água que limpa e que renova
Em cada gota, uma ternura
Em cada onda, uma história nova

Ciclo eterno de movimento
Líquido sagrado e vital
Transparente como o pensamento
Mutável como o temporal

Nascente, mar, nuvem e chuva
Transformando-se sem cessar
A água, em sua dança fluida
Nos ensina a respirar"
write a poetry about earth, in portuguese,write a poetry about earth in portuguese,"Terra Mãe

Ó planeta azul e verde,
Berço de vida e esperança,
Teu solo fértil não se perde,
Tua beleza sempre alcança.

Montanhas altas se erguendo,
Oceanos de águas profundas,
Florestas que vão se estendendo,
Com cores e formas rotundas.

Teus rios cortam paisagens,
Teus ventos sussurram canções,
Carregas tantas imagens
De múltiplas transformações.

Planeta frágil e potente,
Que gira no cosmos sem fim,
Teu pulso bate fortemente,
Trazendo amor desde o jardim.

Ecosfera de mistérios,
Que abriga vida e emoção,
Transpondo todos os critérios
De pura transformação.

Terra, mãe generosa e forte,
Que nos acolhe com carinho,
Protegendo-nos da sorte,
Em teu amoroso caminho."
write a poetry about air, in portuguese,write a poetry about air in portuguese,"Ar, invisível amigo
Que me envolve, me abraça
Sopra suave, tão amigo
E meu pulmão com graça

Ar que dança, ar que voa
Ar que tudo permeia
Leve, solto, que ecoa
Por cada curva e vereda

Respirar é comunhão
Com teu fluido movimento
És liberdade, és canção
És silêncio e momento

Ar de vida, ar de encanto
Transparente e profundo
Teu sopro é meu próprio canto
Tua essência, meu mundo

Invisível, mas presente
Carregas sons, calor, frescor
És elemento potente
De energia e de vigor

Ar, meu íntimo parceiro
Que não se vê, mas se sente
És sublime mensageiro
De uma força diferente"
write a poetry about wind, in portuguese,write a poetry about wind in portuguese,"Ventos que Dançam

Suave brisa, doce suspiro,
Que serpenteia entre folhas e chão,
Teu movimento é um livre respiro,
Livre dança de pura emoção.

Às vezes manso, quase silente,
Outras vezes forte e audaz,
Bailando na tarde ardente,
Trazendo frescor que renasce.

Invisível artista do espaço,
Que desenhas no ar tua trama,
Carregas histórias sem traço,
E segredos que o vento proclama.

Sopras nos campos, nas serras,
Atravessas cidades e mar,
Tuas mãos invisíveis e ternas
Que conseguem tudo abraçar.

Vento livre, vento errante,
Força antiga, energia pura,
Teu pulso sempre vibrante
Conta a vida em sua escritura."
write a poetry about storm, in portuguese,write a poetry about storm in portuguese,"Trovão Selvagem

Nuvens negras, céu em fúria,
Relâmpagos cortam o ar
Com violenta e crua energia
Que vem o mundo abraçar

Vento uiva, grita e ruge
Árvores tremem sem parar
A tempestade se expande
Seu poder a se propagar

Gotas grossas, chuva forte
Caem rápidas no chão
Estrondo que ecoa distante
Desperta cada emoção

Raios riscam o horizonte
Em riscos de pura luz
A natureza em seu auge
Sua força nos conduz

Tempestade que se agita
Em seu manto de emoção
Poder bruto e selvagem
Que invade cada visão

Depois, silêncio... e calma
A tormenta vai passar
Deixando a terra molhada
Pronta para respirar"
write a poetry about cloud, in portuguese,write a poetry about cloud in portuguese,"Nuvens Errantes

Brancas viajantes do céu azul,
Tecendo histórias de algodão e luz,
Dançando ao sabor do vento sutil,
Transformando-se em formas que seduz.

Flutuam soltas, sem pressa ou razão,
Carregando segredos de longe,
Pintando o horizonte com sua canção,
Como pinceladas de um sonho que ronge.

Ora densas, ora leves e sutis,
Refletindo o sol em seus contornos,
Navegam por caminhos invisíveis,
Desenhando paisagens, rompendo normas.

Nuvens que passam, etéreas e livres,
Contando histórias sem fim nem começo,
Poesia silente dos céus que se abrem,
Em movimentos de eterno processo."
write a poetry about snow, in portuguese,write a poetry about snow in portuguese,"Branca Serenidade

Suave floco, dança etérea
Desce do céu em melodia
Cobrindo a terra em paz serena
Num manto branco de magia

Silencioso e delicado
Cai sem pressa, sem ruído
Transforma o mundo congelado
Em um cenário colorido

Cristais de gelo se entrelaçam
Pintando tudo de alvo e puro
Onde os sonhos se abraçam
Num momento calmo e seguro

Neve que desce e se derrama
Envolvendo cada paisagem
Teu branco brilho me proclama
Um sussurro de toda viagem

Fria, mas cheia de ternura
Transformando o que há ao redor
És poesia em sua estrutura
És silêncio, és paz, és cor"
write a poetry about ice, in portuguese,write a poetry about ice in portuguese,"Gelo, cristal de silêncio e frio,
Transparente espelho do vazio,
Congelas a água em teu abraço,
Moldando formas sem espaço.

Branco reflexo da solidão,
Gelada e pura manifestação,
Teu brilho corta o ar sereno,
Um universo branco e pequeno.

Fragmentos de inverno suspensos,
Teus contornos são tão imensos,
Que derretem na luz do dia,
Revelando efêmera magia.

Gelo, senhor do tempo congelado,
De fragilidade imaculado,
És poesia de um instante raro,
Transparente, frágil e claro."
write a poetry about mountain, in portuguese,write a poetry about mountain in portuguese,"Montanha Altiva

Majestosa, erguendo-se no céu,
Tua silhueta corta o horizonte,
Com rochas antigas e verde véu,
Desafiando o tempo em cada fonte.

Teus cumes cobertos de gelo e luz,
Segredos guardados em tua altura,
Tua presença imponente traduz
A força da mais pura natureza pura.

Ventos uivam por tuas encostas,
Árvores dançam em teu abraço,
Tuas raízes profundas, dispostas
A contar histórias sem embaraço.

Ó montanha, gigante de pedra e alma,
Símbolo de força, de paz e grandeza,
Teu silêncio me envolve como uma calma,
Revelando a mais sublime beleza."
write a poetry about river, in portuguese,write a poetry about river in portuguese,"Rio, serpenteante fio de vida,
Tua corrente suave e linda,
Deslizas por entre pedras e areias,
Carregando histórias e memórias cheias.

Teu fluir constante, teu murmúrio manso,
Reflete o tempo em teu longo avanço,
Espelho de céus, de nuvens e luz,
Teu caminho sinuoso me seduz.

Margens verdejantes te abraçam com amor,
Árvores antigas contam teu valor,
Peixes dançam em tuas águas claras,
Tuas águas são límpidas e raras.

Rio, meu amigo, meu eterno companheiro,
Testemunha silente de cada guerreiro,
Tua força tranquila, teu poder sereno,
Me transporta num sonho tão pleno."
write a poetry about lake, in portuguese,write a poetry about lake in portuguese,"Lago Sereno

Espelho d'água, calmo e profundo,
Refletindo o céu em seu abraço,
Sussurros de verde em teu fundo,
Paisagem de paz, sem embaraço.

Ondas suaves deslizam sem pressa,
Margens verdejantes te abraçam,
Silêncio que a natureza endereça,
Momentos onde as águas se abraçam.

Luz da manhã te beija docemente,
Cristais límpidos em teu regaço,
Segredos guardados tão fielmente,
Um quadro de beleza e de espaço.

Lago sereno, soul da paisagem,
Espelho da terra, pura imagem."
write a poetry about ocean, in portuguese,write a poetry about ocean in portuguese,"Ondas de Azul Profundo

Vasto mar de águas infinitas,
Sussurros de espuma e sal,
Onde as ondas dançam bonitas
Num bailado sempre atual.

Horizonte azul se estende
Além do que os olhos podem ver,
Cada onda que se rende
Traz histórias do seu poder.

Azul profundo, verde intenso,
Mistério que não tem fim,
Um universo imenso
Que pulsa dentro de mim.

Marés que sobem e descem,
Abraçando a areia macia,
Segredos que aparece
Na luz da branca maresia.

Oceano, ser de grandeza,
Guardião de vida e emoção,
Tua força e tua beleza
Tocam meu coração.

Águas que cantam seu canto,
Eterno, livre e selvagem,
Onde o mundo é todo encanto
E a natureza é a paisagem."
